"","Date","JPM"
"844","5/11/2009",29.773764
"845","5/12/2009",29.3832
"846","5/13/2009",28.294634
"847","5/14/2009",29.532784
"848","5/15/2009",29.009272
"849","5/18/2009",30.962046
"850","5/19/2009",29.757137
"851","5/20/2009",28.710117
"852","5/21/2009",29.000959
"853","5/22/2009",28.593784
"854","5/26/2009",30.363747
"855","5/27/2009",28.801529
"856","5/28/2009",30.455158
"857","5/29/2009",30.662907
"858","6/1/2009",30.006432
"859","6/2/2009",28.668571
"860","6/3/2009",28.236465
"861","6/4/2009",29.374893
"862","6/5/2009",28.710117
"863","6/8/2009",29.408142
"864","6/9/2009",29.300116
"865","6/10/2009",28.951105
"866","6/11/2009",29.034193
"867","6/12/2009",29.192089
"868","6/15/2009",28.253082
"869","6/16/2009",27.837601
"870","6/17/2009",27.197744
"871","6/18/2009",28.394352
"872","6/19/2009",29.084059
"873","6/22/2009",27.314083
"874","6/23/2009",27.895761
"875","6/24/2009",27.80435
"876","6/25/2009",28.369415
"877","6/26/2009",28.627024
"878","6/29/2009",28.751663
"879","6/30/2009",28.344488
"880","7/1/2009",28.103153
"881","7/2/2009",26.85487
"882","7/6/2009",27.129492
"883","7/7/2009",27.304255
"884","7/8/2009",27.221035
"885","7/9/2009",27.978333
"886","7/10/2009",26.913124
"887","7/13/2009",28.885416
"888","7/14/2009",28.87709
"889","7/15/2009",30.175312
"890","7/16/2009",30.067127
"891","7/17/2009",30.699596
"892","7/20/2009",30.774494
"893","7/21/2009",30.741199
"894","7/22/2009",30.649666
"895","7/23/2009",31.748169
"896","7/24/2009",31.556757
"897","7/27/2009",31.731514
"898","7/28/2009",31.689911
"899","7/29/2009",31.431917
"900","7/30/2009",32.014477
"901","7/31/2009",32.164261
"902","8/3/2009",32.954842
"903","8/4/2009",33.462479
"904","8/5/2009",34.769012
"905","8/6/2009",33.911854
"906","8/7/2009",35.25169
"907","8/10/2009",35.526329
"908","8/11/2009",34.31963
"909","8/12/2009",35.126858
"910","8/13/2009",35.701073
"911","8/14/2009",35.326603
"912","8/17/2009",33.89521
"913","8/18/2009",34.702442
"914","8/19/2009",34.461113
"915","8/20/2009",35.301617
"916","8/21/2009",36.333542
"917","8/24/2009",35.792618
"918","8/25/2009",36.266968
"919","8/26/2009",36.033962
"920","8/27/2009",36.158779
"921","8/28/2009",35.71772
"922","8/31/2009",36.167095
"923","9/1/2009",34.677479
"924","9/2/2009",34.003399
"925","9/3/2009",35.04364
"926","9/4/2009",35.235039
"927","9/8/2009",35.401485
"928","9/9/2009",35.667789
